@label	LAK
@title	Oracc LAK font
@page	/osl/Fonts/Oracc-LAK/
@font	Oracc-LAK.ttf
@css	ofs-lak
@mag	110
@list	LAK
o0223334	U+12562	LAK
o0223469	U+1256B	LAK
o0223469	U+1256B	LAK
o0223467	U+12574	LAK
o0223467	U+12574	LAK
o0223485	U+12579	LAK
o0223485	U+12579	LAK
o0223485	U+12579	LAK
o0223485	U+12579	LAK
o0223485	U+12579	LAK
o0223485	U+12579	LAK
o0223485	U+12579	LAK
o0223373	U+12582	LAK
o0223373	U+12582	LAK
o0223358	U+12587	LAK
o0223359	U+12589	LAK
o0223386	U+1258C	LAK
o0223372	U+1258E	LAK
o0223385	U+12593	LAK
o0223385	U+12593	LAK
o0223385	U+12593	LAK
o0223385	U+12593	LAK
o0223385	U+12593	LAK
o0223389	U+12594	LAK
o0223389	U+12594	LAK
o0223398	U+12595	LAK
o0223398	U+12595	LAK
o0223413	U+12596	LAK
o0223413	U+12596	LAK
o0223424	U+12597	LAK
o0223424	U+12597	LAK
o0223482	U+12598	LAK
o0223482	U+12598	LAK
o0223483	U+12599	LAK
o0223483	U+12599	LAK
o0025674	U+F002B	LAK
o0025674	U+F002B	LAK
o0245340	U+F0033	LAK
o0245340	U+F0033	LAK
o0245340	U+F0033	LAK
o0245340	U+F0033	LAK
o0245340	U+F0033	LAK
o0223374	U+F0035	LAK
o0028115	U+F003D	LAK
o0028115	U+F003D	LAK
o0028116	U+F003E	LAK
o0028116	U+F003E	LAK
o0028118	U+F003F	LAK
o0028118	U+F003F	LAK
o0028119	U+F0040	LAK
o0028119	U+F0040	LAK
o0038374	U+F0049	LAK
o0021192	U+F004F	LAK
o0002758	U+F0051	LAK
o0027582	U+F0052	LAK
o0027653	U+F0054	LAK
o0027655	U+F0055	LAK
o0187962	U+F0056	LAK
o0027570	U+F0058	LAK
