@label	oCC
@font	/home/oracc/www/fonts/Cuneiform-Classic-final.ttf
@css	ofs-cc
o0001319	U+120E1	oCC
o0001321	U+120E2	oCC
o0001322	U+120E3	oCC
o0001323	U+120E4	oCC
o0001330	U+120E5	oCC
o0001276	U+120E6	oCC
o0001331	U+120E7	oCC
o0001324	U+120E8	oCC
o0001325	U+120E9	oCC
o0001327	U+120EA	oCC
o0001326	U+120EB	oCC
o0001275	U+120EC	oCC
o0001244	U+120ED	oCC
o0000190	U+120EE	oCC
o0001181	U+120EF	oCC
o0000193	U+120F0	oCC
o0001183	U+120F1	oCC
o0000194	U+120F2	oCC
o0001201	U+120F3	oCC
o0000195	U+120F4	oCC
o0000196	U+120F5	oCC
o0000197	U+120F6	oCC
o0000199	U+120F7	oCC
o0000201	U+120F8	oCC
o0001217	U+120F9	oCC
o0001216	U+120FA	oCC
o0000202	U+120FB	oCC
o0000204	U+120FC	oCC
o0000205	U+120FD	oCC
o0000208	U+120FE	oCC
o0001333	U+120FF	oCC
o0000210	U+12100	oCC
o0001358	U+12101	oCC
o0001360	U+12102	oCC
o0001335	U+12103	oCC
o0000219	U+12104	oCC
o0001409	U+12105	oCC
o0001408	U+12106	oCC
o0000211	U+12107	oCC
o0000213	U+12108	oCC
o0000214	U+12109	oCC
o0000215	U+1210A	oCC
o0001349	U+1210B	oCC
o0001351	U+1210C	oCC
o0001352	U+1210D	oCC
o0001350	U+1210E	oCC
o0001353	U+1210F	oCC
o0000216	U+12110	oCC
o0000217	U+12111	oCC
o0001363	U+12112	oCC
o0001406	U+12113	oCC
o0001407	U+12114	oCC
o0000218	U+12115	oCC
o0000221	U+12116	oCC
o0001412	U+12117	oCC
o0000230	U+12118	oCC
o0001431	U+12119	oCC
o0001432	U+1211A	oCC
o0001433	U+1211B	oCC
o0001428	U+1211C	oCC
o0000231	U+1211D	oCC
o0000222	U+1211E	oCC
o0001419	U+1211F	oCC
o0001422	U+12120	oCC
o0001414	U+12121	oCC
o0000224	U+12122	oCC
o0000225	U+12123	oCC
o0001424	U+12124	oCC
o0000226	U+12125	oCC
o0000229	U+12126	oCC
o0000227	U+12127	oCC
o0000228	U+12128	oCC
o0000232	U+12129	oCC
o0000234	U+1212A	oCC
o0000233	U+1212B	oCC
o0000236	U+1212C	oCC
o0000237	U+1212D	oCC
o0001447	U+1212E	oCC
o0001452	U+1212F	oCC
o0001453	U+12130	oCC
o0001454	U+12131	oCC
o0001455	U+12132	oCC
o0001456	U+12133	oCC
o0001462	U+12134	oCC
o0001464	U+12135	oCC
o0028114	U+12136	oCC
o0000239	U+12137	oCC
o0000240	U+12138	oCC
o0001473	U+12139	oCC
o0001474	U+1213A	oCC
o0001475	U+1213B	oCC
o0001476	U+1213C	oCC
o0001477	U+1213D	oCC
o0000241	U+1213E	oCC
o0000242	U+1213F	oCC
o0001478	U+12140	oCC
o0000244	U+12141	oCC
o0000245	U+12142	oCC
o0001482	U+12143	oCC
o0000645	U+12144	oCC
o0000246	U+12145	oCC
o0000247	U+12146	oCC
o0001487	U+12147	oCC
o0001510	U+12148	oCC
o0001483	U+12149	oCC
o0000248	U+1214A	oCC
o0000249	U+1214B	oCC
o0001524	U+1214C	oCC
o0000252	U+1214D	oCC
o0000254	U+1214E	oCC
o0001549	U+1214F	oCC
o0001529	U+12150	oCC
o0001548	U+12151	oCC
o0000649	U+12152	oCC
o0000255	U+12153	oCC
o0000256	U+12154	oCC
o0000257	U+12155	oCC
o0000259	U+12156	oCC
o0000260	U+12157	oCC
o0001611	U+12158	oCC
o0001610	U+12159	oCC
o0001593	U+1215A	oCC
o0001612	U+1215B	oCC
o0001613	U+1215C	oCC
o0001614	U+1215D	oCC
o0001615	U+1215E	oCC
