@label	RSP
@title	Oracc RSP font
@page	/osl/Fonts/Oracc-RSP/
@font	Oracc-RSP.ttf
@css	ofs-rsp
@mag	110
@list	RSP
o0000293	U+121B2	RSP
o0000294	U+121B3	RSP
o0000294	U+121B3	RSP
o0000294	U+121B3	RSP
o0000294	U+121B3	RSP
o0000294	U+121B3	RSP
o0000294	U+121B3	RSP
o0000294	U+121B3	RSP
o0000294	U+121B3	RSP
o0000294	U+121B3	RSP
o0000305	U+121B7	RSP
o0000306	U+121B8	RSP
o0001800	U+121B9	RSP
o0001804	U+121C0	RSP
o0001804	U+121C0	RSP
o0001804	U+121C0	RSP
o0001804	U+121C0	RSP
o0001804	U+121C0	RSP
o0001804	U+121C0	RSP
o0001804	U+121C0	RSP
o0001778	U+121C7	RSP
o0001814	U+121C9	RSP
o0001814	U+121C9	RSP
o0001817	U+121CB	RSP
o0001832	U+121E1	RSP
o0001838	U+121E5	RSP
o0001838	U+121E5	RSP
o0001838	U+121E5	RSP
o0001838	U+121E5	RSP
o0001838	U+121E5	RSP
o0001838	U+121E5	RSP
o0001838	U+121E5	RSP
o0000307	U+121EC	RSP
o0001853	U+121ED	RSP
o0001853	U+121ED	RSP
o0001853	U+121ED	RSP
o0001853	U+121ED	RSP
o0001853	U+121ED	RSP
o0000309	U+121F1	RSP
o0000309	U+121F1	RSP
o0000309	U+121F1	RSP
o0000309	U+121F1	RSP
o0000309	U+121F1	RSP
o0000309	U+121F1	RSP
o0000309	U+121F1	RSP
o0000309	U+121F1	RSP
o0000309	U+121F1	RSP
o0000422	U+121F2	RSP
o0000422	U+121F2	RSP
o0000422	U+121F2	RSP
o0000422	U+121F2	RSP
o0000422	U+121F2	RSP
o0000424	U+121F4	RSP
o0000424	U+121F4	RSP
o0000424	U+121F4	RSP
o0000424	U+121F4	RSP
o0000424	U+121F4	RSP
o0000424	U+121F4	RSP
o0000424	U+121F4	RSP
o0000424	U+121F4	RSP
o0000424	U+121F4	RSP
o0000425	U+121F7	RSP
o0000425	U+121F7	RSP
